date,ageSib,ethnicityCensus,allegation,geog,datacol
2014,0,9,4,4,34.19
2014,0,9,4,5,30.01
2014,0,9,4,6,40.17
2014,0,10,0,1,175.40
2014,0,10,0,2,81.33
2014,0,10,0,3,69.68
2014,0,10,0,4,40.33
2014,0,10,0,5,86.71
2014,0,10,0,6,118.70
2014,0,10,1,1,50.16
2014,0,10,1,2,56.47
2014,0,10,1,3,14.96
2014,0,10,1,4,13.04
2014,0,10,1,5,27.48
2014,0,10,1,6,43.01
2014,0,10,2,1,13.42
2014,0,10,2,2,12.11
2014,0,10,2,3,2.39
2014,0,10,2,4,1.88
2014,0,10,2,5,4.07
2014,0,10,2,6,6.72
2014,0,10,3,1,114.76
2014,0,10,3,2,164.10
2014,0,10,3,3,46.25
2014,0,10,3,4,25.42
2014,0,10,3,5,53.47
2014,0,10,3,6,79.81
2014,0,10,4,1,136.01
2014,0,10,4,2,187.82
2014,0,10,4,3,55.67
2014,0,10,4,4,33.65
2014,0,10,4,5,71.45
2014,0,10,4,6,110.06
2014,0,11,0,1,66.93
2014,0,11,0,2,53.35
2014,0,11,0,3,47.72
2014,0,11,0,4,28.64
2014,0,11,0,5,48.29
2014,0,11,0,6,58.36
2014,0,11,1,1,16.74
2014,0,11,1,2,14.39
2014,0,11,1,3,10.41
2014,0,11,1,4,7.46
2014,0,11,1,5,14.18
2014,0,11,1,6,16.38
2014,0,11,2,1,3.51
2014,0,11,2,2,2.63
2014,0,11,2,3,1.97
2014,0,11,2,4,1.59
2014,0,11,2,5,2.56
2014,0,11,2,6,2.82
2014,0,11,3,1,45.71
2014,0,11,3,2,37.69
2014,0,11,3,3,29.93
2014,0,11,3,4,18.36
2014,0,11,3,5,31.37
2014,0,11,3,6,37.27
2014,0,11,4,1,54.20
2014,0,11,4,2,45.05
2014,0,11,4,3,36.97
2014,0,11,4,4,23.52
2014,0,11,4,5,40.64
2014,0,11,4,6,47.51
2014,0,12,0,1,194.37
2014,0,12,0,2,156.76
2014,0,12,0,3,68.36
2014,0,12,0,4,107.81
2014,0,12,0,5,96.38
2014,0,12,0,6,88.31
2014,0,12,1,1,60.10
2014,0,12,1,2,59.46
2014,0,12,1,3,16.11
2014,0,12,1,4,34.58
2014,0,12,1,5,33.41
2014,0,12,1,6,33.95
2014,0,12,2,1,3.84
2014,0,12,2,2,25.00
2014,0,12,2,3,2.42
2014,0,12,2,4,4.08
2014,0,12,2,5,2.69
2014,0,12,2,6,6.99
2014,0,12,3,1,129.56
2014,0,12,3,2,86.49
2014,0,12,3,3,36.86
2014,0,12,3,4,61.53
2014,0,12,3,5,53.37
2014,0,12,3,6,50.18
2014,0,12,4,1,158.49
2014,0,12,4,2,124.32
2014,0,12,4,3,49.75
2014,0,12,4,4,82.49
2014,0,12,4,5,77.56
2014,0,12,4,6,73.76
2014,1,0,0,1,89.73
2014,1,0,0,2,66.47
2014,1,0,0,3,58.78
2014,1,0,0,4,31.44
2014,1,0,0,5,63.58
2014,1,0,0,6,80.02
2014,1,0,1,1,20.17
2014,1,0,1,2,16.20
2014,1,0,1,3,11.68
2014,1,0,1,4,7.69
2014,1,0,1,5,15.66
2014,1,0,1,6,19.69
2014,1,0,2,1,4.17
2014,1,0,2,2,2.12
2014,1,0,2,3,2.45
2014,1,0,2,4,1.75
2014,1,0,2,5,2.85
2014,1,0,2,6,3.65
2014,1,0,3,1,67.92
2014,1,0,3,2,50.66
2014,1,0,3,3,43.70
2014,1,0,3,4,23.82
2014,1,0,3,5,48.13
2014,1,0,3,6,57.05
2014,1,0,4,1,76.99
2014,1,0,4,2,58.09
2014,1,0,4,3,51.02
2014,1,0,4,4,28.42
2014,1,0,4,5,56.64
2014,1,0,4,6,68.95
2014,1,1,0,1,160.49
2014,1,1,0,2,230.77
2014,1,1,0,3,225.00
2014,1,1,0,5,250.00
2014,1,1,0,6,163.79
2014,1,1,1,1,59.49
2014,1,1,1,2,47.39
2014,1,1,1,3,47.00
2014,1,1,1,4,43.89
2014,1,1,1,5,52.78
2014,1,1,1,6,51.67
2014,1,1,2,1,20.94
2014,1,1,2,3,14.04
2014,1,1,2,4,15.67
2014,1,1,2,5,8.33
2014,1,1,2,6,.00
2014,1,1,3,1,189.80
2014,1,1,3,2,298.58
2014,1,1,3,3,202.25
2014,1,1,3,4,228.84
2014,1,1,3,5,180.56
2014,1,1,3,6,94.83
2014,1,1,4,1,206.80
2014,1,1,4,2,322.27
2014,1,1,4,3,227.53
2014,1,1,4,4,257.05
2014,1,1,4,5,200.00
2014,1,1,4,6,112.07
2014,1,2,0,1,21.21
2014,1,2,0,2,21.16
2014,1,2,0,3,13.19
2014,1,2,0,4,9.26
2014,1,2,0,5,26.35
2014,1,2,0,6,27.65
2014,1,2,1,1,9.09
2014,1,2,1,2,14.81
2014,1,2,1,3,5.33
2014,1,2,1,4,2.99
2014,1,2,1,5,11.40
2014,1,2,1,6,10.44
2014,1,2,2,4,.28
2014,1,2,2,5,2.14
2014,1,2,2,6,5.59
2014,1,2,3,1,21.21
2014,1,2,3,2,22.22
2014,1,2,3,3,8.39
2014,1,2,3,4,6.46
2014,1,2,3,5,19.94
2014,1,2,3,6,20.88
2014,1,2,4,1,21.21
2014,1,2,4,2,22.22
2014,1,2,4,3,10.39
2014,1,2,4,4,7.95
2014,1,2,4,5,26.35
2014,1,2,4,6,25.52
2014,1,3,0,1,207.55
2014,1,3,0,2,130.95
2014,1,3,0,3,58.11
2014,1,3,0,4,85.96
2014,1,3,0,5,81.90
2014,1,3,0,6,113.02
2014,1,3,1,1,56.70
2014,1,3,1,2,59.52
2014,1,3,1,3,8.82
2014,1,3,1,4,20.43
2014,1,3,1,5,18.78
2014,1,3,1,6,24.57
2014,1,3,2,2,.00
2014,1,3,2,3,4.41
2014,1,3,2,4,5.57
2014,1,3,2,5,2.95
2014,1,3,2,6,12.29
2014,1,3,3,1,155.66
2014,1,3,3,2,83.33
2014,1,3,3,3,44.97
2014,1,3,3,4,66.07
2014,1,3,3,5,59.47
2014,1,3,3,6,76.17
2014,1,3,4,1,179.25
2014,1,3,4,2,107.14
2014,1,3,4,3,54.23
2014,1,3,4,4,77.47
2014,1,3,4,5,69.90
2014,1,3,4,6,100.74
2014,1,4,0,1,117.65
2014,1,4,0,3,110.00
2014,1,4,0,4,79.01
2014,1,4,0,5,79.28
2014,1,4,0,6,181.82
2014,1,4,1,3,30.00
2014,1,4,1,4,22.22
2014,1,4,1,5,23.02
2014,1,4,1,6,75.76
2014,1,4,2,4,4.94
2014,1,4,2,5,7.67
2014,1,4,2,6,.00
2014,1,4,3,1,58.82
2014,1,4,3,3,80.00
2014,1,4,3,4,59.26
2014,1,4,3,5,56.27
2014,1,4,3,6,106.06
2014,1,4,4,1,58.82
2014,1,4,4,3,90.00
2014,1,4,4,4,71.60
2014,1,4,4,5,69.05
2014,1,4,4,6,166.67
2014,1,5,0,1,82.07
2014,1,5,0,2,67.33
2014,1,5,0,3,57.50
2014,1,5,0,4,24.49
2014,1,5,0,5,55.72
2014,1,5,0,6,68.35
2014,1,5,1,1,18.38
2014,1,5,1,2,16.50
2014,1,5,1,3,11.56
2014,1,5,1,4,5.78
2014,1,5,1,5,13.59
2014,1,5,1,6,16.66
2014,1,5,2,1,3.90
2014,1,5,2,2,1.93
2014,1,5,2,3,2.63
2014,1,5,2,4,1.41
2014,1,5,2,5,2.81
2014,1,5,2,6,3.39
2014,1,5,3,1,62.03
2014,1,5,3,2,52.51
2014,1,5,3,3,42.64
2014,1,5,3,4,18.89
2014,1,5,3,5,42.79
2014,1,5,3,6,49.83
2014,1,5,4,1,70.24
2014,1,5,4,2,60.23
2014,1,5,4,3,49.98
2014,1,5,4,4,22.34
2014,1,5,4,5,49.96
2014,1,5,4,6,59.57
2014,1,6,0,1,9.56
2014,1,6,0,2,5.81
2014,1,6,0,3,16.56
2014,1,6,0,4,2.87
2014,1,6,0,5,5.72
2014,1,6,0,6,5.20
2014,1,6,1,1,3.48
2014,1,6,1,2,3.47
2014,1,6,1,3,12.99
2014,1,6,1,4,.00
2014,1,6,1,5,2.86
2014,1,6,1,6,.00
2014,1,6,2,2,1.06
2014,1,6,3,1,7.82
2014,1,6,3,2,4.65
2014,1,6,3,3,22.73
2014,1,6,3,4,2.87
