"date","ageSib","ethnicityCensus","geog","datacol"
2017,1,1,6,329
2017,1,2,1,330
2017,1,2,2,211
2017,1,2,3,2502
2017,1,2,4,10688
2017,1,2,5,1404
2017,1,2,6,868
2017,1,3,1,212
2017,1,3,2,84
2017,1,3,3,756
2017,1,3,4,3769
2017,1,3,5,1917
2017,1,3,6,407
2017,1,4,1,51
2017,1,4,2,0
2017,1,4,3,100
2017,1,4,4,405
2017,1,4,5,391
2017,1,4,6,66
2017,1,5,1,17911
2017,1,5,2,11273
2017,1,5,3,23007
2017,1,5,4,37684
2017,1,5,5,21337
2017,1,5,6,22688
2017,1,6,1,1600
2017,1,6,2,3471
2017,1,6,3,1455
2017,1,6,4,2787
2017,1,6,5,1190
2017,1,6,6,973
2017,1,8,1,568
2017,1,8,2,365
2017,1,8,3,1159
2017,1,8,4,2485
2017,1,8,5,1824
2017,1,8,6,972
2017,1,9,1,3359
2017,1,9,2,6150
2017,1,9,3,3507
2017,1,9,4,6164
2017,1,9,5,3126
2017,1,9,6,2464
2017,1,10,1,1133
2017,1,10,2,554
2017,1,10,3,3810
2017,1,10,4,13411
2017,1,10,5,3550
2017,1,10,6,1965
2017,1,11,1,16410
2017,1,11,2,8869
2017,1,11,3,21328
2017,1,11,4,34906
2017,1,11,5,19959
2017,1,11,6,21495
2017,1,12,1,185
2017,1,12,2,63
2017,1,12,3,719
2017,1,12,4,3656
2017,1,12,5,1788
2017,1,12,6,382
2017,2,0,1,102437
2017,2,0,2,75961
2017,2,0,3,144886
2017,2,0,4,232688
2017,2,0,5,137646
2017,2,0,6,140407
2017,2,1,1,836
2017,2,1,2,665
2017,2,1,3,1065
2017,2,1,4,887
2017,2,1,5,873
2017,2,1,6,1090
2017,2,2,1,660
2017,2,2,2,545
2017,2,2,3,5326
2017,2,2,4,17679
2017,2,2,5,3843
2017,2,2,6,2460
2017,2,3,1,445
2017,2,3,2,276
2017,2,3,3,1494
2017,2,3,4,7771
2017,2,3,5,4470
2017,2,3,6,1252
2017,2,4,1,85
2017,2,4,2,0
2017,2,4,3,207
2017,2,4,4,933
2017,2,4,5,816
2017,2,4,6,341
2017,2,5,1,44698
2017,2,5,2,27887
2017,2,5,3,59306
2017,2,5,4,80508
2017,2,5,5,53586
2017,2,5,6,61108
2017,2,6,1,3414
2017,2,6,2,7680
2017,2,6,3,3024
2017,2,6,4,4654
2017,2,6,5,2103
2017,2,6,6,1983
2017,2,8,1,1065
2017,2,8,2,927
2017,2,8,3,2021
2017,2,8,4,3912
2017,2,8,5,3132
2017,2,8,6,1969
2017,2,9,1,6414
2017,2,9,2,13060
2017,2,9,3,6476
2017,2,9,4,9990
2017,2,9,5,5324
2017,2,9,6,4719
2017,2,10,1,2327
2017,2,10,2,1521
2017,2,10,3,8106
2017,2,10,4,22541
2017,2,10,5,8019
2017,2,10,6,5411
2017,2,11,1,42071
2017,2,11,2,23178
2017,2,11,3,56430
2017,2,11,4,76244
2017,2,11,5,51179
2017,2,11,6,58882
2017,2,12,1,422
2017,2,12,2,222
2017,2,12,3,1431
2017,2,12,4,7569
2017,2,12,5,4301
2017,2,12,6,1192
2017,3,0,1,39450
2017,3,0,2,37217
2017,3,0,3,47970
2017,3,0,4,75936
2017,3,0,5,46966
2017,3,0,6,46626
2017,3,1,1,375
2017,3,1,2,294
2017,3,1,3,391
2017,3,1,4,354
2017,3,1,5,308
2017,3,1,6,332
2017,3,2,1,249
2017,3,2,2,155
2017,3,2,3,1723
2017,3,2,4,6214
2017,3,2,5,1279
2017,3,2,6,777
2017,3,3,1,198
2017,3,3,2,119
2017,3,3,3,695
2017,3,3,4,3568
2017,3,3,5,1816
2017,3,3,6,458
2017,3,4,1,61
2017,3,4,2,0
2017,3,4,3,102
2017,3,4,4,474
2017,3,4,5,433
2017,3,4,6,131
2017,3,5,1,15542
2017,3,5,2,11537
2017,3,5,3,17955
2017,3,5,4,22181
2017,3,5,5,16571
2017,3,5,6,19345
2017,3,6,1,2754
