date,ageSib,ethnicityCensus,allegation,geog,datacol
2014,0,1,2,39,12.00
2014,0,1,3,3,74.53
2014,0,1,3,4,375.00
2014,0,1,3,5,157.75
2014,0,1,3,6,43.90
2014,0,1,3,8,157.41
2014,0,1,3,10,87.72
2014,0,1,3,13,132.08
2014,0,1,3,14,70.18
2014,0,1,3,15,250.00
2014,0,1,3,17,131.41
2014,0,1,3,18,78.65
2014,0,1,3,21,33.33
2014,0,1,3,23,111.11
2014,0,1,3,24,77.28
2014,0,1,3,26,333.33
2014,0,1,3,27,111.39
2014,0,1,3,29,188.34
2014,0,1,3,31,149.81
2014,0,1,3,32,159.31
2014,0,1,3,33,71.79
2014,0,1,3,34,91.95
2014,0,1,3,37,219.23
2014,0,1,3,39,242.00
2014,0,1,4,3,93.17
2014,0,1,4,5,171.83
2014,0,1,4,6,63.41
2014,0,1,4,8,194.44
2014,0,1,4,10,122.81
2014,0,1,4,13,150.94
2014,0,1,4,14,84.21
2014,0,1,4,15,250.00
2014,0,1,4,17,151.92
2014,0,1,4,18,95.51
2014,0,1,4,21,33.33
2014,0,1,4,23,122.81
2014,0,1,4,24,96.02
2014,0,1,4,26,416.67
2014,0,1,4,27,132.49
2014,0,1,4,29,210.76
2014,0,1,4,31,165.73
2014,0,1,4,32,189.95
2014,0,1,4,33,76.92
2014,0,1,4,34,109.20
2014,0,1,4,37,242.31
2014,0,1,4,39,263.00
2014,0,2,0,3,18.25
2014,0,2,0,4,428.57
2014,0,2,0,5,148.15
2014,0,2,0,6,17.50
2014,0,2,0,8,160.00
2014,0,2,0,11,48.08
2014,0,2,0,14,125.00
2014,0,2,0,15,21.51
2014,0,2,0,17,13.85
2014,0,2,0,18,23.65
2014,0,2,0,19,.00
2014,0,2,0,27,22.28
2014,0,2,0,29,.00
2014,0,2,0,31,12.94
2014,0,2,0,32,31.98
2014,0,2,0,34,18.93
2014,0,2,0,37,22.33
2014,0,2,0,38,15.87
2014,0,2,0,39,47.81
2014,0,2,1,3,7.30
2014,0,2,1,4,285.71
2014,0,2,1,6,6.25
2014,0,2,1,8,60.00
2014,0,2,1,11,28.85
2014,0,2,1,15,7.17
2014,0,2,1,17,5.96
2014,0,2,1,18,7.60
2014,0,2,1,21,500.00
2014,0,2,1,27,11.23
2014,0,2,1,29,.00
2014,0,2,1,31,3.88
2014,0,2,1,32,12.60
2014,0,2,1,34,9.46
2014,0,2,1,37,9.57
2014,0,2,1,38,10.58
2014,0,2,1,39,19.92
2014,0,2,2,3,3.65
2014,0,2,2,6,2.08
2014,0,2,2,11,19.23
2014,0,2,2,15,7.17
2014,0,2,2,17,.64
2014,0,2,2,18,2.53
2014,0,2,2,27,1.87
2014,0,2,2,31,.59
2014,0,2,2,32,3.88
2014,0,2,2,34,2.52
2014,0,2,2,37,4.78
2014,0,2,3,3,16.42
2014,0,2,3,4,428.57
2014,0,2,3,5,148.15
2014,0,2,3,6,11.67
2014,0,2,3,8,160.00
2014,0,2,3,11,19.23
2014,0,2,3,14,62.50
2014,0,2,3,15,17.92
2014,0,2,3,17,7.92
2014,0,2,3,18,19.43
